epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,20373.2,0.0905,9.88032,1.12449,0.94876,0.97377,0.97948,0.6712,0.08195,8.35268,1.10839,0.00489452,0.00489452,0.00489452
155,20504.9,0.09076,9.86263,1.12318,0.94879,0.97377,0.97945,0.67223,0.08194,8.35009,1.10835,0.00484272,0.00484272,0.00484272
156,20635.9,0.09087,9.86644,1.1194,0.94885,0.97377,0.97951,0.67137,0.08192,8.3415,1.1082,0.00479094,0.00479094,0.00479094
157,20766.5,0.0907,10.0034,1.12365,0.95053,0.97377,0.97958,0.67193,0.08191,8.33083,1.1081,0.00473919,0.00473919,0.00473919
158,20898.8,0.09031,9.86935,1.12177,0.95053,0.97377,0.97965,0.67209,0.08192,8.32523,1.10808,0.00468747,0.00468747,0.00468747
159,21030.3,0.08951,9.86013,1.11539,0.95135,0.97462,0.98077,0.67204,0.08192,8.32269,1.10796,0.00463579,0.00463579,0.00463579
160,21160.8,0.09068,9.78787,1.12314,0.95177,0.97462,0.98076,0.67162,0.08194,8.31877,1.10806,0.00458416,0.00458416,0.00458416
161,21292.7,0.0905,9.86117,1.11553,0.95114,0.97462,0.98101,0.67189,0.0819,8.31944,1.1078,0.00453258,0.00453258,0.00453258
162,21427.1,0.09046,9.82293,1.11837,0.95192,0.97462,0.98106,0.67236,0.08189,8.31104,1.10794,0.00448106,0.00448106,0.00448106
163,21561.7,0.08968,9.80458,1.11267,0.95219,0.97462,0.98109,0.67293,0.08183,8.30327,1.10768,0.0044296,0.0044296,0.0044296
164,21693.6,0.0907,9.85573,1.12185,0.95262,0.97547,0.98137,0.67275,0.08183,8.28907,1.10777,0.00437821,0.00437821,0.00437821
165,21824.5,0.09009,9.69621,1.11684,0.9542,0.97547,0.98145,0.67371,0.08181,8.28533,1.10773,0.00432689,0.00432689,0.00432689
166,21956.5,0.09022,9.77715,1.11901,0.95353,0.97547,0.98145,0.67332,0.0818,8.28283,1.10767,0.00427565,0.00427565,0.00427565
167,22086.2,0.08953,9.79214,1.11553,0.9547,0.97547,0.98155,0.67328,0.08174,8.27302,1.10717,0.00422449,0.00422449,0.00422449
168,22220.2,0.09015,9.66723,1.11577,0.95458,0.97547,0.98155,0.67325,0.08175,8.26398,1.10718,0.00417343,0.00417343,0.00417343
169,22351.7,0.08978,9.80219,1.11468,0.95499,0.97547,0.98159,0.6733,0.08171,8.25478,1.10698,0.00412246,0.00412246,0.00412246
170,22482.3,0.08895,9.65313,1.11501,0.95354,0.97547,0.98158,0.67415,0.08167,8.24303,1.10642,0.0040716,0.0040716,0.0040716
171,22615.6,0.08909,9.72782,1.10821,0.95536,0.97547,0.98165,0.67386,0.08167,8.24372,1.10655,0.00402084,0.00402084,0.00402084
172,22747.9,0.08937,9.67172,1.1162,0.95501,0.97547,0.98164,0.67412,0.08167,8.23105,1.10658,0.00397019,0.00397019,0.00397019
173,22881.7,0.08916,9.73477,1.1114,0.95418,0.97462,0.98117,0.67451,0.08162,8.22224,1.10626,0.00391966,0.00391966,0.00391966
174,23012,0.08881,9.65749,1.11159,0.95576,0.97462,0.98177,0.67442,0.08164,8.21695,1.10634,0.00386926,0.00386926,0.00386926
175,23144.4,0.08939,9.65903,1.11202,0.95585,0.97462,0.98135,0.67521,0.08163,8.21822,1.10623,0.00381899,0.00381899,0.00381899
176,23278,0.08913,9.5619,1.11282,0.95592,0.97462,0.9814,0.67465,0.08167,8.21274,1.10634,0.00376885,0.00376885,0.00376885
177,23411.4,0.08909,9.6717,1.11276,0.95771,0.97462,0.98168,0.67533,0.08165,8.21385,1.10603,0.00371885,0.00371885,0.00371885
178,23541.3,0.08872,9.57282,1.11595,0.95772,0.97462,0.98173,0.67509,0.08164,8.20685,1.10592,0.00366899,0.00366899,0.00366899
179,23673.6,0.08865,9.58191,1.11162,0.95766,0.97462,0.98171,0.6754,0.08164,8.20112,1.10587,0.00361929,0.00361929,0.00361929
